scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_flat.xml,0.0,0.0,0.0,trot,0,False,,0.0709,-0.0432,0.0709,0.0455,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,1,False,,0.0738,-0.038,0.0738,0.0419,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,2,False,,0.0736,-0.0384,0.0736,0.0421,0.2806,0.0065,2.4908
go2_flat.xml,0.0,0.0,0.0,trot,3,False,,0.0733,-0.0389,0.0733,0.0425,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,4,False,,0.0736,-0.0385,0.0736,0.0422,0.2806,0.0065,2.4907
go2_flat.xml,0.25,0.0,0.0,trot,0,False,,0.1386,-0.1181,0.1114,0.1182,0.2798,0.0064,5.4633
go2_flat.xml,0.25,0.0,0.0,trot,1,False,,0.1476,-0.1067,0.1024,0.1077,0.2798,0.0064,5.4626
go2_flat.xml,0.25,0.0,0.0,trot,2,False,,0.1465,-0.1083,0.1035,0.109,0.2798,0.0064,5.4637
go2_flat.xml,0.25,0.0,0.0,trot,3,False,,0.1458,-0.1091,0.1042,0.1099,0.2798,0.0064,5.4632
go2_flat.xml,0.25,0.0,0.0,trot,4,False,,0.1473,-0.107,0.1027,0.108,0.2798,0.0064,5.4631
go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2181,-0.1739,0.2819,0.174,0.2785,0.006,8.3688
go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2311,-0.1562,0.2689,0.1572,0.2785,0.006,8.3683
go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2287,-0.1598,0.2713,0.1604,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2278,-0.1611,0.2722,0.1616,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2312,-0.1561,0.2688,0.157,0.2785,0.006,8.3685
go2_flat.xml,0.75,0.0,0.0,trot,0,False,,0.3587,-0.1564,0.3913,0.1564,0.2803,0.0063,11.7384
go2_flat.xml,0.75,0.0,0.0,trot,1,False,,0.3699,-0.1277,0.3801,0.1281,0.2803,0.0063,11.7382
go2_flat.xml,0.75,0.0,0.0,trot,2,False,,0.3697,-0.1284,0.3803,0.1287,0.2803,0.0063,11.7388
go2_flat.xml,0.75,0.0,0.0,trot,3,False,,0.3683,-0.1322,0.3817,0.1324,0.2803,0.0063,11.7385
go2_flat.xml,0.75,0.0,0.0,trot,4,False,,0.3706,-0.1256,0.3794,0.1261,0.2803,0.0063,11.7384
go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.5032,-0.0377,0.4968,0.0377,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.5046,-0.0003,0.4954,0.0128,0.2862,0.0065,15.1369
go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.5046,-0.0043,0.4954,0.0128,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.5045,-0.0078,0.4955,0.0134,0.2862,0.0065,15.137
go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.5046,0.0053,0.4954,0.0138,0.2862,0.0065,15.1369
go2_flat.xml,1.5,0.0,0.0,trot,0,False,,0.5737,0.3204,0.9263,0.322,0.2974,0.0062,19.7117
go2_flat.xml,1.5,0.0,0.0,trot,1,False,,0.5524,0.3559,0.9476,0.3559,0.2974,0.0062,19.7121
go2_flat.xml,1.5,0.0,0.0,trot,2,False,,0.5573,0.348,0.9427,0.3481,0.2974,0.0062,19.7114
go2_flat.xml,1.5,0.0,0.0,trot,3,False,,0.5609,0.3423,0.9391,0.3426,0.2974,0.0062,19.7118
go2_flat.xml,1.5,0.0,0.0,trot,4,False,,0.5442,0.3683,0.9558,0.3683,0.2974,0.0062,19.7115
