scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_flat.xml,0.0,0.0,0.0,trot,0,False,,0.0709,-0.0432,0.0709,0.0455,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,1,False,,0.0738,-0.038,0.0738,0.0419,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,2,False,,0.0736,-0.0384,0.0736,0.0421,0.2806,0.0065,2.4908
go2_flat.xml,0.0,0.0,0.0,trot,3,False,,0.0733,-0.0389,0.0733,0.0425,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,4,False,,0.0736,-0.0385,0.0736,0.0422,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,5,False,,0.0747,-0.0362,0.0747,0.0408,0.2806,0.0065,2.4908
go2_flat.xml,0.0,0.0,0.0,trot,6,False,,0.0736,-0.0383,0.0736,0.0421,0.2806,0.0065,2.4904
go2_flat.xml,0.0,0.0,0.0,trot,7,False,,0.0718,-0.0417,0.0718,0.0445,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,8,False,,0.071,-0.043,0.071,0.0454,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,9,False,,0.0731,-0.0393,0.0731,0.0428,0.2806,0.0065,2.4904
go2_flat.xml,0.0,0.0,0.0,trot,10,False,,0.0737,-0.0382,0.0737,0.0421,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,11,False,,0.0721,-0.0411,0.0721,0.044,0.2806,0.0065,2.4908
go2_flat.xml,0.0,0.0,0.0,trot,12,False,,0.0707,-0.0435,0.0707,0.0457,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,13,False,,0.0711,-0.0429,0.0711,0.0453,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,14,False,,0.0736,-0.0383,0.0736,0.0421,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,15,False,,0.0742,-0.0373,0.0742,0.0415,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,16,False,,0.0728,-0.04,0.0728,0.0432,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,17,False,,0.0743,-0.037,0.0743,0.0413,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,18,False,,0.0746,-0.0365,0.0746,0.041,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,19,False,,0.0727,-0.0401,0.0727,0.0433,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,20,False,,0.071,-0.0431,0.071,0.0454,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,21,False,,0.0716,-0.042,0.0716,0.0446,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,22,False,,0.0719,-0.0415,0.0719,0.0443,0.2806,0.0065,2.4904
go2_flat.xml,0.0,0.0,0.0,trot,23,False,,0.0717,-0.0419,0.0717,0.0445,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,24,False,,0.0709,-0.0432,0.0709,0.0455,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,25,False,,0.0736,-0.0384,0.0736,0.0421,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,26,False,,0.0731,-0.0393,0.0731,0.0428,0.2806,0.0065,2.4906
go2_flat.xml,0.0,0.0,0.0,trot,27,False,,0.0749,-0.0359,0.0749,0.0406,0.2806,0.0065,2.4907
go2_flat.xml,0.0,0.0,0.0,trot,28,False,,0.071,-0.0431,0.071,0.0455,0.2806,0.0065,2.4905
go2_flat.xml,0.0,0.0,0.0,trot,29,False,,0.0749,-0.0359,0.0749,0.0406,0.2806,0.0065,2.4907
go2_flat.xml,0.25,0.0,0.0,trot,0,False,,0.1386,-0.1181,0.1114,0.1182,0.2798,0.0064,5.4633
go2_flat.xml,0.25,0.0,0.0,trot,1,False,,0.1476,-0.1067,0.1024,0.1077,0.2798,0.0064,5.4626
go2_flat.xml,0.25,0.0,0.0,trot,2,False,,0.1465,-0.1083,0.1035,0.109,0.2798,0.0064,5.4637
go2_flat.xml,0.25,0.0,0.0,trot,3,False,,0.1458,-0.1091,0.1042,0.1099,0.2798,0.0064,5.4632
go2_flat.xml,0.25,0.0,0.0,trot,4,False,,0.1473,-0.107,0.1027,0.108,0.2798,0.0064,5.4631
go2_flat.xml,0.25,0.0,0.0,trot,5,False,,0.1498,-0.1036,0.1002,0.105,0.2798,0.0064,5.4636
go2_flat.xml,0.25,0.0,0.0,trot,6,False,,0.1474,-0.1069,0.1026,0.1078,0.2798,0.0064,5.4626
