scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2181,-0.1739,0.2819,0.174,0.2785,0.006,8.3688
go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2311,-0.1562,0.2689,0.1572,0.2785,0.006,8.3683
go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2287,-0.1598,0.2713,0.1604,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2278,-0.1611,0.2722,0.1616,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2312,-0.1561,0.2688,0.157,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,pace,0,False,,0.3299,0.0334,0.1701,0.0748,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,1,False,,0.3256,0.0627,0.1744,0.0904,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,2,False,,0.3263,0.0591,0.1737,0.0882,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,3,False,,0.3266,0.0574,0.1734,0.0871,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,4,False,,0.3251,0.0655,0.1749,0.0923,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,bound,0,False,,0.1787,0.1656,0.3213,0.198,0.2552,0.0021,7.3086
go2_flat.xml,0.5,0.0,0.0,bound,1,False,,0.1624,0.1816,0.3376,0.2047,0.2552,0.0021,7.3088
go2_flat.xml,0.5,0.0,0.0,bound,2,False,,0.166,0.1784,0.334,0.2032,0.2552,0.0021,7.3093
go2_flat.xml,0.5,0.0,0.0,bound,3,False,,0.1669,0.1775,0.3331,0.2029,0.2552,0.0021,7.3091
go2_flat.xml,0.5,0.0,0.0,bound,4,False,,0.163,0.1811,0.337,0.2044,0.2552,0.0021,7.3092
