scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2181,-0.1739,0.2819,0.174,0.2785,0.006,8.3688
go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.2311,-0.1562,0.2689,0.1572,0.2785,0.006,8.3683
go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2287,-0.1598,0.2713,0.1604,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.2278,-0.1611,0.2722,0.1616,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.2312,-0.1561,0.2688,0.157,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.2333,-0.153,0.2667,0.1543,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.2314,-0.1558,0.2686,0.1568,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.2253,-0.1645,0.2747,0.1648,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.2191,-0.1726,0.2809,0.1727,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.23,-0.1579,0.27,0.1587,0.2784,0.006,8.3682
go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2311,-0.1563,0.2689,0.1572,0.2785,0.006,8.3688
go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.223,-0.1676,0.277,0.1678,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.2192,-0.1725,0.2808,0.1726,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.2229,-0.1677,0.2771,0.1679,0.2785,0.006,8.3684
go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.2311,-0.1563,0.2689,0.1572,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,15,False,,0.2327,-0.1539,0.2673,0.1551,0.2785,0.006,8.3688
go2_flat.xml,0.5,0.0,0.0,trot,16,False,,0.2269,-0.1623,0.2731,0.1627,0.2785,0.006,8.3686
go2_flat.xml,0.5,0.0,0.0,trot,17,False,,0.2333,-0.1529,0.2667,0.1543,0.2785,0.006,8.3686
go2_flat.xml,0.5,0.0,0.0,trot,18,False,,0.2337,-0.1524,0.2663,0.1538,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,19,False,,0.2271,-0.1621,0.2729,0.1625,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,20,False,,0.2187,-0.1732,0.2813,0.1732,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,21,False,,0.2219,-0.1691,0.2781,0.1692,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,22,False,,0.2234,-0.1671,0.2766,0.1674,0.2785,0.006,8.3686
go2_flat.xml,0.5,0.0,0.0,trot,23,False,,0.2231,-0.1675,0.2769,0.1677,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,24,False,,0.2179,-0.1742,0.2821,0.1743,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,25,False,,0.2298,-0.1581,0.2702,0.1589,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,26,False,,0.2265,-0.1628,0.2735,0.1632,0.2785,0.006,8.3687
go2_flat.xml,0.5,0.0,0.0,trot,27,False,,0.2331,-0.1532,0.2669,0.1545,0.2785,0.006,8.369
go2_flat.xml,0.5,0.0,0.0,trot,28,False,,0.2206,-0.1707,0.2794,0.1708,0.2785,0.006,8.3685
go2_flat.xml,0.5,0.0,0.0,trot,29,False,,0.2325,-0.1541,0.2675,0.1553,0.2785,0.006,8.3689
go2_flat.xml,0.5,0.0,0.0,pace,0,False,,0.3299,0.0334,0.1701,0.0748,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,1,False,,0.3256,0.0627,0.1744,0.0904,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,2,False,,0.3263,0.0591,0.1737,0.0882,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,3,False,,0.3266,0.0574,0.1734,0.0871,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,4,False,,0.3251,0.0655,0.1749,0.0923,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,5,False,,0.3249,0.0661,0.1751,0.0927,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,6,False,,0.3107,0.1158,0.1893,0.1334,0.2621,0.0109,9.9467
go2_flat.xml,0.5,0.0,0.0,pace,7,False,,0.3205,0.0851,0.1795,0.1068,0.2621,0.0109,9.9468
go2_flat.xml,0.5,0.0,0.0,pace,8,False,,0.325,0.0656,0.175,0.0924,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,9,False,,0.3192,0.0898,0.1808,0.1106,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,10,False,,0.327,0.0549,0.173,0.0856,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,11,False,,0.3288,0.0427,0.1712,0.079,0.2621,0.0109,9.9468
go2_flat.xml,0.5,0.0,0.0,pace,12,False,,0.318,0.0939,0.182,0.1139,0.2621,0.0109,9.9467
go2_flat.xml,0.5,0.0,0.0,pace,13,False,,0.3156,0.1016,0.1844,0.1206,0.2621,0.0109,9.9466
go2_flat.xml,0.5,0.0,0.0,pace,14,False,,0.3269,0.0553,0.1731,0.0859,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,15,False,,0.3255,0.0631,0.1745,0.0907,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,16,False,,0.3206,0.0844,0.1794,0.1062,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,17,False,,0.3143,0.1055,0.1857,0.1241,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,18,False,,0.3258,0.0616,0.1742,0.0897,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,19,False,,0.3268,0.056,0.1732,0.0863,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,20,False,,0.3272,0.0538,0.1728,0.085,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,21,False,,0.3293,0.0386,0.1707,0.0771,0.2621,0.0109,9.9468
go2_flat.xml,0.5,0.0,0.0,pace,22,False,,0.3286,0.0442,0.1714,0.0798,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,23,False,,0.3158,0.1009,0.1842,0.12,0.2621,0.0109,9.9468
go2_flat.xml,0.5,0.0,0.0,pace,24,False,,0.3302,0.0301,0.1698,0.0735,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,25,False,,0.3258,0.0619,0.1742,0.0899,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,26,False,,0.3276,0.051,0.1724,0.0834,0.2621,0.0109,9.947
go2_flat.xml,0.5,0.0,0.0,pace,27,False,,0.3264,0.0581,0.1736,0.0876,0.2621,0.0109,9.9468
go2_flat.xml,0.5,0.0,0.0,pace,28,False,,0.3298,0.0347,0.1702,0.0753,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,pace,29,False,,0.326,0.0606,0.174,0.0891,0.2621,0.0109,9.9469
go2_flat.xml,0.5,0.0,0.0,bound,0,False,,0.1787,0.1656,0.3213,0.198,0.2552,0.0021,7.3086
go2_flat.xml,0.5,0.0,0.0,bound,1,False,,0.1624,0.1816,0.3376,0.2047,0.2552,0.0021,7.3088
go2_flat.xml,0.5,0.0,0.0,bound,2,False,,0.166,0.1784,0.334,0.2032,0.2552,0.0021,7.3093
go2_flat.xml,0.5,0.0,0.0,bound,3,False,,0.1669,0.1775,0.3331,0.2029,0.2552,0.0021,7.3091
go2_flat.xml,0.5,0.0,0.0,bound,4,False,,0.163,0.1811,0.337,0.2044,0.2552,0.0021,7.3092
go2_flat.xml,0.5,0.0,0.0,bound,5,False,,0.1598,0.1839,0.3402,0.2057,0.2552,0.0021,7.3093
go2_flat.xml,0.5,0.0,0.0,bound,6,False,,0.1632,0.181,0.3368,0.2044,0.2552,0.0022,7.3107
go2_flat.xml,0.5,0.0,0.0,bound,7,False,,0.1688,0.1757,0.3312,0.2021,0.2552,0.0021,7.309
go2_flat.xml,0.5,0.0,0.0,bound,8,False,,0.1725,0.1721,0.3275,0.2006,0.2552,0.0021,7.3092
go2_flat.xml,0.5,0.0,0.0,bound,9,False,,0.16,0.1838,0.34,0.2056,0.2552,0.0021,7.3092
go2_flat.xml,0.5,0.0,0.0,bound,10,False,,0.1647,0.1795,0.3353,0.2037,0.2552,0.0021,7.309
go2_flat.xml,0.5,0.0,0.0,bound,11,False,,0.174,0.1705,0.326,0.1999,0.2552,0.0021,7.309
go2_flat.xml,0.5,0.0,0.0,bound,12,False,,0.1764,0.1682,0.3236,0.199,0.2552,0.0022,7.3108
go2_flat.xml,0.5,0.0,0.0,bound,13,False,,0.1707,0.1739,0.3293,0.2013,0.2552,0.0022,7.3106
go2_flat.xml,0.5,0.0,0.0,bound,14,False,,0.1643,0.1799,0.3357,0.2039,0.2552,0.0021,7.3086
go2_flat.xml,0.5,0.0,0.0,bound,15,False,,0.1616,0.1824,0.3384,0.205,0.2552,0.0021,7.309
go2_flat.xml,0.5,0.0,0.0,bound,16,False,,0.1668,0.1776,0.3332,0.2029,0.2552,0.0022,7.3106
go2_flat.xml,0.5,0.0,0.0,bound,17,False,,0.1596,0.1842,0.3404,0.2058,0.2552,0.0021,7.3101
go2_flat.xml,0.5,0.0,0.0,bound,18,False,,0.1636,0.1806,0.3364,0.2042,0.2552,0.0021,7.3085
go2_flat.xml,0.5,0.0,0.0,bound,19,False,,0.1673,0.1771,0.3327,0.2027,0.2552,0.0021,7.309
go2_flat.xml,0.5,0.0,0.0,bound,20,False,,0.1757,0.1688,0.3243,0.1992,0.2552,0.0021,7.3091
