scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_slope_05.xml,0.5,0.0,0.0,trot,0,False,,0.2815,-0.0614,0.2185,0.0615,0.4825,0.1385,5.7623
go2_slope_05.xml,0.5,0.0,0.0,trot,1,False,,0.2851,-0.042,0.2149,0.0436,0.4833,0.1401,5.7625
go2_slope_05.xml,0.5,0.0,0.0,trot,2,False,,0.2844,-0.0464,0.2156,0.0473,0.4831,0.1397,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,3,False,,0.2842,-0.0476,0.2158,0.0484,0.4829,0.1396,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,4,False,,0.2851,-0.0416,0.2149,0.0433,0.4834,0.1401,5.7625
go2_slope_10.xml,0.5,0.0,0.0,trot,0,False,,0.2698,0.0174,0.2302,0.0368,0.6673,0.2665,5.4059
go2_slope_10.xml,0.5,0.0,0.0,trot,1,False,,0.2692,0.0362,0.2308,0.0434,0.6646,0.2652,5.4325
go2_slope_10.xml,0.5,0.0,0.0,trot,2,False,,0.2695,0.0322,0.2305,0.0412,0.6652,0.2655,5.4276
go2_slope_10.xml,0.5,0.0,0.0,trot,3,False,,0.2696,0.0311,0.2304,0.0407,0.6653,0.2656,5.4263
go2_slope_10.xml,0.5,0.0,0.0,trot,4,False,,0.2692,0.0366,0.2308,0.0436,0.6646,0.2652,5.4328
go2_slope_15.xml,0.5,0.0,0.0,trot,0,False,,0.2211,0.0875,0.2789,0.099,0.7731,0.3286,4.7544
go2_slope_15.xml,0.5,0.0,0.0,trot,1,True,21.75,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,2,True,22.25,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,3,True,22.27,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,4,True,21.75,,,,,,,
go2_slope_20.xml,0.5,0.0,0.0,trot,0,True,19.05,,,,,,,
go2_slope_20.xml,0.5,0.0,0.0,trot,1,True,17.75,,,,,,,
go2_slope_20.xml,0.5,0.0,0.0,trot,2,True,18.07,,,,,,,
go2_slope_20.xml,0.5,0.0,0.0,trot,3,True,18.21,,,,,,,
go2_slope_20.xml,0.5,0.0,0.0,trot,4,True,17.75,,,,,,,
go2_slope_25.xml,0.5,0.0,0.0,trot,0,True,16.15,,,,,,,
go2_slope_25.xml,0.5,0.0,0.0,trot,1,True,15.19,,,,,,,
go2_slope_25.xml,0.5,0.0,0.0,trot,2,True,15.13,,,,,,,
go2_slope_25.xml,0.5,0.0,0.0,trot,3,True,15.15,,,,,,,
go2_slope_25.xml,0.5,0.0,0.0,trot,4,True,15.14,,,,,,,
go2_stairs_02.xml,0.5,0.0,0.0,trot,0,False,,0.0374,-0.1942,0.4626,0.2058,0.2886,0.0149,3.9545
go2_stairs_02.xml,0.5,0.0,0.0,trot,1,False,,0.0197,-0.2021,0.4803,0.2152,0.2814,0.0119,4.0608
go2_stairs_02.xml,0.5,0.0,0.0,trot,2,False,,0.0559,-0.1858,0.4441,0.1995,0.2897,0.0155,3.8792
go2_stairs_02.xml,0.5,0.0,0.0,trot,3,False,,0.0262,-0.2031,0.4738,0.2155,0.2815,0.0119,4.0958
go2_stairs_02.xml,0.5,0.0,0.0,trot,4,False,,0.0285,-0.2026,0.4715,0.2159,0.2817,0.0122,4.0922
go2_stairs_05.xml,0.5,0.0,0.0,trot,0,False,,0.0226,-0.0028,0.4774,0.0221,0.2781,0.0048,0.4553
go2_stairs_05.xml,0.5,0.0,0.0,trot,1,False,,0.0238,0.0001,0.4762,0.0253,0.2779,0.0048,0.475
go2_stairs_05.xml,0.5,0.0,0.0,trot,2,False,,0.0237,-0.0007,0.4763,0.0245,0.2779,0.0048,0.4727
go2_stairs_05.xml,0.5,0.0,0.0,trot,3,False,,0.0236,-0.0009,0.4764,0.0244,0.2779,0.0048,0.4724
go2_stairs_05.xml,0.5,0.0,0.0,trot,4,False,,0.0238,0.0001,0.4762,0.0254,0.2779,0.0048,0.475
go2_stairs_08.xml,0.5,0.0,0.0,trot,0,False,,0.0226,-0.0034,0.4774,0.0229,0.2779,0.0048,0.457
go2_stairs_08.xml,0.5,0.0,0.0,trot,1,False,,0.0238,0.0001,0.4762,0.0253,0.2779,0.0048,0.475
go2_stairs_08.xml,0.5,0.0,0.0,trot,2,False,,0.0237,-0.0007,0.4763,0.0245,0.2779,0.0048,0.4727
go2_stairs_08.xml,0.5,0.0,0.0,trot,3,False,,0.0236,-0.0009,0.4764,0.0244,0.2779,0.0048,0.4724
go2_stairs_08.xml,0.5,0.0,0.0,trot,4,False,,0.0238,0.0001,0.4762,0.0254,0.2779,0.0048,0.475
go2_stairs_12.xml,0.5,0.0,0.0,trot,0,False,,0.0226,-0.0031,0.4774,0.0228,0.2779,0.0048,0.4561
go2_stairs_12.xml,0.5,0.0,0.0,trot,1,False,,0.0238,0.0001,0.4762,0.0253,0.2779,0.0048,0.475
go2_stairs_12.xml,0.5,0.0,0.0,trot,2,False,,0.0237,-0.0007,0.4763,0.0245,0.2779,0.0048,0.4727
go2_stairs_12.xml,0.5,0.0,0.0,trot,3,False,,0.0236,-0.0009,0.4764,0.0244,0.2779,0.0048,0.4724
go2_stairs_12.xml,0.5,0.0,0.0,trot,4,False,,0.0238,0.0001,0.4762,0.0254,0.2779,0.0048,0.475
go2_stairs_16.xml,0.5,0.0,0.0,trot,0,False,,0.0228,-0.005,0.4772,0.0233,0.2833,0.0048,0.4668
go2_stairs_16.xml,0.5,0.0,0.0,trot,1,False,,0.024,-0.0005,0.476,0.0227,0.2833,0.0049,0.4791
go2_stairs_16.xml,0.5,0.0,0.0,trot,2,False,,0.0238,-0.0016,0.4762,0.0226,0.2833,0.0049,0.4775
go2_stairs_16.xml,0.5,0.0,0.0,trot,3,False,,0.0238,-0.0018,0.4762,0.0226,0.2833,0.0049,0.4773
go2_stairs_16.xml,0.5,0.0,0.0,trot,4,False,,0.024,-0.0003,0.476,0.0227,0.2833,0.0049,0.479
