scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
go2_slope_05.xml,0.5,0.0,0.0,trot,0,False,,0.2815,-0.0614,0.2185,0.0615,0.4825,0.1385,5.7623
go2_slope_05.xml,0.5,0.0,0.0,trot,1,False,,0.2851,-0.042,0.2149,0.0436,0.4833,0.1401,5.7625
go2_slope_05.xml,0.5,0.0,0.0,trot,2,False,,0.2844,-0.0464,0.2156,0.0473,0.4831,0.1397,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,3,False,,0.2842,-0.0476,0.2158,0.0484,0.4829,0.1396,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,4,False,,0.2851,-0.0416,0.2149,0.0433,0.4834,0.1401,5.7625
go2_slope_05.xml,0.5,0.0,0.0,trot,5,False,,0.2856,-0.0382,0.2144,0.0405,0.484,0.1404,5.7623
go2_slope_05.xml,0.5,0.0,0.0,trot,6,False,,0.2852,-0.0416,0.2148,0.0433,0.4814,0.1398,5.7629
go2_slope_05.xml,0.5,0.0,0.0,trot,7,False,,0.2834,-0.052,0.2166,0.0525,0.4811,0.139,5.7617
go2_slope_05.xml,0.5,0.0,0.0,trot,8,False,,0.2814,-0.0619,0.2186,0.062,0.48,0.138,5.762
go2_slope_05.xml,0.5,0.0,0.0,trot,9,False,,0.2848,-0.044,0.2152,0.0454,0.4816,0.1397,5.762
go2_slope_05.xml,0.5,0.0,0.0,trot,10,False,,0.2853,-0.0408,0.2147,0.0425,0.4844,0.1403,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,11,False,,0.283,-0.0544,0.217,0.0547,0.4829,0.1391,5.7632
go2_slope_05.xml,0.5,0.0,0.0,trot,12,False,,0.2817,-0.061,0.2183,0.0612,0.4796,0.138,5.7632
go2_slope_05.xml,0.5,0.0,0.0,trot,13,False,,0.2828,-0.0553,0.2172,0.0557,0.4802,0.1386,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,14,False,,0.2852,-0.0408,0.2148,0.0425,0.4845,0.1404,5.7626
go2_slope_05.xml,0.5,0.0,0.0,trot,15,False,,0.2856,-0.0383,0.2144,0.0405,0.4844,0.1405,5.7626
go2_slope_05.xml,0.5,0.0,0.0,trot,16,False,,0.2838,-0.0493,0.2162,0.05,0.482,0.1394,5.761
go2_slope_05.xml,0.5,0.0,0.0,trot,17,False,,0.2856,-0.0384,0.2144,0.0408,0.482,0.1401,5.762
go2_slope_05.xml,0.5,0.0,0.0,trot,18,False,,0.2858,-0.0364,0.2142,0.0391,0.485,0.1407,5.762
go2_slope_05.xml,0.5,0.0,0.0,trot,19,False,,0.2841,-0.0486,0.2159,0.0493,0.4831,0.1396,5.7629
go2_slope_05.xml,0.5,0.0,0.0,trot,20,False,,0.2812,-0.0628,0.2188,0.063,0.4805,0.138,5.7613
go2_slope_05.xml,0.5,0.0,0.0,trot,21,False,,0.2826,-0.0558,0.2174,0.056,0.4834,0.1391,5.7613
go2_slope_05.xml,0.5,0.0,0.0,trot,22,False,,0.2832,-0.0535,0.2168,0.0539,0.4831,0.1392,5.7632
go2_slope_05.xml,0.5,0.0,0.0,trot,23,False,,0.2828,-0.0552,0.2172,0.0556,0.4804,0.1386,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,24,False,,0.2815,-0.0616,0.2185,0.0617,0.4824,0.1384,5.7623
go2_slope_05.xml,0.5,0.0,0.0,trot,25,False,,0.2848,-0.044,0.2152,0.0452,0.4836,0.14,5.7628
go2_slope_05.xml,0.5,0.0,0.0,trot,26,False,,0.284,-0.0484,0.216,0.0492,0.4841,0.1398,5.7616
go2_slope_05.xml,0.5,0.0,0.0,trot,27,False,,0.2856,-0.0382,0.2144,0.0405,0.4852,0.1406,5.7615
go2_slope_05.xml,0.5,0.0,0.0,trot,28,False,,0.2824,-0.0575,0.2176,0.0577,0.4827,0.1388,5.763
go2_slope_05.xml,0.5,0.0,0.0,trot,29,False,,0.2856,-0.038,0.2144,0.0402,0.4847,0.1405,5.7625
go2_slope_10.xml,0.5,0.0,0.0,trot,0,False,,0.2698,0.0174,0.2302,0.0368,0.6673,0.2665,5.4059
go2_slope_10.xml,0.5,0.0,0.0,trot,1,False,,0.2692,0.0362,0.2308,0.0434,0.6646,0.2652,5.4325
go2_slope_10.xml,0.5,0.0,0.0,trot,2,False,,0.2695,0.0322,0.2305,0.0412,0.6652,0.2655,5.4276
go2_slope_10.xml,0.5,0.0,0.0,trot,3,False,,0.2696,0.0311,0.2304,0.0407,0.6653,0.2656,5.4263
go2_slope_10.xml,0.5,0.0,0.0,trot,4,False,,0.2692,0.0366,0.2308,0.0436,0.6646,0.2652,5.4328
go2_slope_10.xml,0.5,0.0,0.0,trot,5,False,,0.2689,0.0394,0.2311,0.0453,0.6651,0.265,5.4356
go2_slope_10.xml,0.5,0.0,0.0,trot,6,False,,0.2694,0.0363,0.2306,0.0433,0.661,0.2646,5.4357
go2_slope_10.xml,0.5,0.0,0.0,trot,7,False,,0.2698,0.0273,0.2302,0.0389,0.663,0.2655,5.4224
go2_slope_10.xml,0.5,0.0,0.0,trot,8,False,,0.27,0.0183,0.23,0.0367,0.6632,0.2658,5.4114
go2_slope_10.xml,0.5,0.0,0.0,trot,9,False,,0.2694,0.0343,0.2306,0.0421,0.662,0.2649,5.4318
go2_slope_10.xml,0.5,0.0,0.0,trot,10,False,,0.2692,0.0357,0.2308,0.0431,0.6664,0.2655,5.4302
go2_slope_10.xml,0.5,0.0,0.0,trot,11,False,,0.2698,0.0239,0.2302,0.038,0.6667,0.2662,5.4158
go2_slope_10.xml,0.5,0.0,0.0,trot,12,False,,0.2701,0.0191,0.2299,0.0369,0.6624,0.2657,5.4141
go2_slope_10.xml,0.5,0.0,0.0,trot,13,False,,0.27,0.0242,0.23,0.0379,0.662,0.2654,5.4203
go2_slope_10.xml,0.5,0.0,0.0,trot,14,False,,0.2691,0.0358,0.2309,0.0431,0.6665,0.2655,5.4296
go2_slope_10.xml,0.5,0.0,0.0,trot,15,False,,0.269,0.0384,0.231,0.0447,0.6657,0.2652,5.434
go2_slope_10.xml,0.5,0.0,0.0,trot,16,False,,0.2696,0.0301,0.2304,0.0401,0.664,0.2655,5.4251
go2_slope_10.xml,0.5,0.0,0.0,trot,17,False,,0.2691,0.0392,0.2309,0.0451,0.6615,0.2645,5.4383
go2_slope_10.xml,0.5,0.0,0.0,trot,18,False,,0.2688,0.0399,0.2312,0.0457,0.6664,0.2652,5.4346
go2_slope_10.xml,0.5,0.0,0.0,trot,19,False,,0.2696,0.0301,0.2304,0.0402,0.6658,0.2658,5.4246
go2_slope_10.xml,0.5,0.0,0.0,trot,20,False,,0.27,0.0177,0.23,0.0367,0.6645,0.2661,5.4106
go2_slope_10.xml,0.5,0.0,0.0,trot,21,False,,0.2696,0.0229,0.2304,0.0379,0.6678,0.2664,5.4115
go2_slope_10.xml,0.5,0.0,0.0,trot,22,False,,0.2697,0.0245,0.2303,0.0382,0.6668,0.2662,5.4163
go2_slope_10.xml,0.5,0.0,0.0,trot,23,False,,0.2699,0.0243,0.2301,0.038,0.6625,0.2655,5.4198
go2_slope_10.xml,0.5,0.0,0.0,trot,24,False,,0.2698,0.0173,0.2302,0.0368,0.6672,0.2665,5.4059
go2_slope_10.xml,0.5,0.0,0.0,trot,25,False,,0.2693,0.0341,0.2307,0.0422,0.6657,0.2655,5.4293
go2_slope_10.xml,0.5,0.0,0.0,trot,26,False,,0.2694,0.0295,0.2306,0.0399,0.6675,0.2661,5.4204
go2_slope_10.xml,0.5,0.0,0.0,trot,27,False,,0.2689,0.0388,0.2311,0.0449,0.6671,0.2654,5.4321
go2_slope_10.xml,0.5,0.0,0.0,trot,28,False,,0.2698,0.0208,0.2302,0.0373,0.667,0.2664,5.4112
go2_slope_10.xml,0.5,0.0,0.0,trot,29,False,,0.269,0.0382,0.231,0.0446,0.6662,0.2653,5.433
go2_slope_15.xml,0.5,0.0,0.0,trot,0,False,,0.2211,0.0875,0.2789,0.099,0.7731,0.3286,4.7544
go2_slope_15.xml,0.5,0.0,0.0,trot,1,True,21.76,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,2,True,22.24,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,3,True,22.26,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,4,True,21.75,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,5,True,21.62,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,6,True,21.75,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,7,True,22.75,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,8,False,,0.2213,0.0889,0.2787,0.0995,0.7678,0.3273,4.7693
go2_slope_15.xml,0.5,0.0,0.0,trot,9,True,22.07,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,10,True,21.77,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,11,False,,0.2179,0.0989,0.2821,0.1074,0.7691,0.3249,4.786
go2_slope_15.xml,0.5,0.0,0.0,trot,12,False,,0.2214,0.0891,0.2786,0.0996,0.7666,0.3271,4.7729
go2_slope_15.xml,0.5,0.0,0.0,trot,13,False,,0.2184,0.0996,0.2816,0.1077,0.7639,0.324,4.7998
go2_slope_15.xml,0.5,0.0,0.0,trot,14,True,21.75,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,15,True,21.71,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,16,True,22.28,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,17,True,21.6,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,18,True,21.54,,,,,,,
go2_slope_15.xml,0.5,0.0,0.0,trot,19,True,22.55,,,,,,,
