cmd_vx,seed,heading_hold,fell,mean_vx_world,mean_vx_body,yaw_drift_deg,lateral_offset_m
0.25,0,False,False,0.1386,0.1947,-78.33,3.508
0.25,1,False,False,0.1476,0.1947,-78.34,3.12
0.25,2,False,False,0.1465,0.1947,-78.32,3.175
0.25,0,True,False,0.1994,0.1953,-5.36,0.007
0.25,1,True,False,0.1994,0.1953,-7.48,0.044
0.25,2,True,False,0.1994,0.1953,-7.21,0.037
0.5,0,False,False,0.2181,0.2956,-73.32,5.18
0.5,1,False,False,0.2311,0.2956,-73.32,4.58
0.5,2,False,False,0.2287,0.2956,-73.33,4.699
0.5,0,True,False,0.3024,0.2951,-5.1,0.227
0.5,1,True,False,0.3023,0.2952,-7.11,0.267
0.5,2,True,False,0.3023,0.2952,-6.74,0.262
0.75,0,False,False,0.3587,0.3958,-37.62,4.691
0.75,1,False,False,0.3699,0.3958,-37.61,3.734
0.75,2,False,False,0.3697,0.3959,-37.61,3.76
0.75,0,True,False,0.3993,0.3958,-0.55,0.083
0.75,1,True,False,0.3993,0.3958,-2.31,0.127
0.75,2,True,False,0.3993,0.3958,-2.38,0.127
1.0,0,False,False,0.5032,0.5022,1.56,1.152
1.0,1,False,False,0.5046,0.5022,1.56,0.083
1.0,2,False,False,0.5046,0.5022,1.55,0.053
1.0,0,True,False,0.5053,0.5029,1.73,0.246
1.0,1,True,False,0.5054,0.503,0.34,0.205
1.0,2,True,False,0.5054,0.503,0.42,0.213
