foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.3468,-0.0454,0.1532,0.0648,0.2749,0.0064,10.4911
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.3493,-0.0167,0.1507,0.0566,0.2749,0.0064,10.4914
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.3493,-0.0183,0.1507,0.0568,0.2749,0.0064,10.4914
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.3491,-0.0214,0.1509,0.0574,0.2749,0.0064,10.4914
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.3494,-0.0144,0.1506,0.0562,0.2749,0.0064,10.4913
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.3496,-0.0095,0.1504,0.0557,0.2749,0.0064,10.4914
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.3497,-0.0032,0.1503,0.0553,0.2749,0.0064,10.4916
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.3491,-0.0215,0.1509,0.0574,0.2749,0.0064,10.4914
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.348,-0.035,0.152,0.0609,0.2749,0.0064,10.4915
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.3495,-0.0125,0.1505,0.056,0.2749,0.0064,10.4915
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.3493,-0.0181,0.1507,0.0568,0.2749,0.0064,10.4912
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.3479,-0.0353,0.1521,0.061,0.2749,0.0064,10.4913
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.3485,-0.029,0.1515,0.0592,0.2749,0.0064,10.4916
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.349,-0.0231,0.151,0.0577,0.2749,0.0064,10.4915
0.2,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.3493,-0.018,0.1507,0.0568,0.2749,0.0064,10.4912
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,0,False,,0.4224,-0.2078,0.5776,0.2082,0.2841,0.0073,14.1224
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,1,False,,0.4408,-0.1652,0.5592,0.1699,0.2841,0.0073,14.1226
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,2,False,,0.4411,-0.1646,0.5589,0.1694,0.2841,0.0073,14.1228
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,3,False,,0.4385,-0.1714,0.5615,0.175,0.2841,0.0073,14.1227
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,4,False,,0.4424,-0.1609,0.5576,0.1664,0.2841,0.0073,14.1226
0.2,0.02,0.01,go2_flat.xml,1.0,0.0,0.0,trot,5,False,,0.4458,-0.1513,0.5542,0.1591,0.2841,0.0073,14.1228
