foot_friction_mu,foot_friction_tor,foot_friction_roll,scene,cmd_vx,cmd_vy,cmd_yaw,gait,seed,fell,fall_time_s,mean_vx,mean_vy,vel_track_err,lateral_drift,height_mean,height_std,distance_traveled
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,0,False,,0.0879,-0.0396,0.0879,0.0427,0.2805,0.0065,2.8923
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,1,False,,0.09,-0.0346,0.09,0.0394,0.2805,0.0065,2.8919
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,2,False,,0.0896,-0.0356,0.0896,0.04,0.2805,0.0065,2.8922
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,3,False,,0.0894,-0.0361,0.0894,0.0403,0.2805,0.0065,2.8921
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,4,False,,0.09,-0.0346,0.09,0.0394,0.2805,0.0065,2.8919
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,5,False,,0.0905,-0.0331,0.0905,0.0385,0.2805,0.0065,2.8923
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,6,False,,0.0897,-0.0353,0.0897,0.0398,0.2805,0.0065,2.8921
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,7,False,,0.0885,-0.0383,0.0885,0.0418,0.2805,0.0065,2.8918
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,8,False,,0.0871,-0.0413,0.0871,0.0439,0.2805,0.0065,2.8922
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,9,False,,0.0894,-0.036,0.0894,0.0402,0.2805,0.0065,2.8918
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,10,False,,0.0899,-0.0347,0.0899,0.0394,0.2805,0.0065,2.8921
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,11,False,,0.0883,-0.0388,0.0883,0.0421,0.2805,0.0065,2.8922
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,12,False,,0.0868,-0.0421,0.0868,0.0444,0.2805,0.0065,2.8925
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,13,False,,0.0877,-0.0401,0.0877,0.043,0.2805,0.0065,2.8918
0.4,0.02,0.01,go2_flat.xml,0.0,0.0,0.0,trot,14,False,,0.0902,-0.0341,0.0902,0.0391,0.2805,0.0065,2.8921
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,0,False,,0.1837,-0.0941,0.0663,0.0947,0.2798,0.0062,6.1919
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,1,False,,0.1903,-0.08,0.0597,0.0824,0.2798,0.0062,6.1919
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,2,False,,0.1885,-0.0842,0.0615,0.0858,0.2798,0.0062,6.1924
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,3,False,,0.1883,-0.0846,0.0617,0.0862,0.2798,0.0062,6.1922
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,4,False,,0.1903,-0.08,0.0597,0.0824,0.2798,0.0062,6.192
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,5,False,,0.1907,-0.0791,0.0593,0.0816,0.2798,0.0062,6.1922
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,6,False,,0.1904,-0.0797,0.0596,0.0821,0.2798,0.0062,6.1924
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,7,False,,0.187,-0.0874,0.063,0.0886,0.2798,0.0062,6.1922
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,8,False,,0.1837,-0.094,0.0663,0.0946,0.2798,0.0062,6.1922
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,9,False,,0.1897,-0.0813,0.0603,0.0834,0.2798,0.0062,6.192
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,10,False,,0.1898,-0.0812,0.0602,0.0833,0.2798,0.0062,6.192
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,11,False,,0.1852,-0.0912,0.0648,0.0919,0.2798,0.0062,6.1923
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,12,False,,0.1839,-0.0937,0.0661,0.0943,0.2798,0.0062,6.1925
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,13,False,,0.1854,-0.0908,0.0646,0.0916,0.2798,0.0062,6.1924
0.4,0.02,0.01,go2_flat.xml,0.25,0.0,0.0,trot,14,False,,0.19,-0.0805,0.06,0.0828,0.2798,0.0062,6.1919
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,0,False,,0.2912,-0.1208,0.2088,0.1214,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,1,False,,0.3,-0.0969,0.2,0.1007,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,2,False,,0.2986,-0.1011,0.2014,0.1041,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,3,False,,0.298,-0.103,0.202,0.1056,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,4,False,,0.3,-0.097,0.2,0.1008,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,5,False,,0.301,-0.0937,0.199,0.0983,0.2786,0.0056,9.4575
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,6,False,,0.3017,-0.0914,0.1983,0.0967,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,7,False,,0.2972,-0.1051,0.2028,0.1073,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,8,False,,0.2932,-0.1159,0.2068,0.1168,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,9,False,,0.3002,-0.0962,0.1998,0.1002,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,10,False,,0.2993,-0.099,0.2007,0.1023,0.2786,0.0056,9.4573
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,11,False,,0.2941,-0.1135,0.2059,0.1146,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,12,False,,0.2937,-0.1145,0.2063,0.1155,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,13,False,,0.296,-0.1086,0.204,0.1103,0.2786,0.0056,9.4574
0.4,0.02,0.01,go2_flat.xml,0.5,0.0,0.0,trot,14,False,,0.2998,-0.0977,0.2002,0.1013,0.2786,0.0056,9.4572
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,0,False,,0.4138,0.0004,0.3362,0.0135,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,1,False,,0.412,0.0392,0.338,0.0392,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,2,False,,0.4121,0.0374,0.3379,0.0374,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,3,False,,0.4124,0.0341,0.3376,0.0341,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,4,False,,0.4121,0.0384,0.3379,0.0384,0.2804,0.0059,12.4145
0.4,0.02,0.01,go2_flat.xml,0.75,0.0,0.0,trot,5,False,,0.411,0.0481,0.339,0.0481,0.2804,0.0059,12.4145
