cmd_vx,metric,n,n_total,n_survived,mean,sd,ci95_lo,ci95_hi
0.0,mean_vx,30,30,30,0.07279,0.00137,0.07228,0.07331
0.0,vel_track_err,30,30,30,0.07279,0.00137,0.07228,0.07331
0.0,lateral_drift,30,30,30,0.04317,0.0017,0.04254,0.04381
0.0,height_std,30,30,30,0.0065,0.0,0.0065,0.0065
0.25,mean_vx,30,30,30,0.14461,0.00378,0.14319,0.14602
0.25,vel_track_err,30,30,30,0.10539,0.00378,0.10398,0.10681
0.25,lateral_drift,30,30,30,0.1112,0.00449,0.10953,0.11288
0.25,height_std,30,30,30,0.0064,0.0,0.0064,0.0064
0.5,mean_vx,30,30,30,0.22682,0.00531,0.22484,0.2288
0.5,vel_track_err,30,30,30,0.27318,0.00531,0.2712,0.27516
0.5,lateral_drift,30,30,30,0.16277,0.00689,0.1602,0.16534
0.5,height_std,30,30,30,0.006,0.0,0.006,0.006
0.75,mean_vx,30,30,30,0.36734,0.00441,0.36569,0.36898
0.75,vel_track_err,30,30,30,0.38266,0.00441,0.38102,0.38431
0.75,lateral_drift,30,30,30,0.13462,0.01152,0.13032,0.13893
0.75,height_std,30,30,30,0.0063,0.0,0.0063,0.0063
1.0,mean_vx,30,30,30,0.50426,0.00046,0.50409,0.50444
1.0,vel_track_err,30,30,30,0.49574,0.00046,0.49556,0.49591
1.0,lateral_drift,30,30,30,0.01918,0.00823,0.01611,0.02225
1.0,height_std,30,30,30,0.0065,0.0,0.0065,0.0065
1.5,mean_vx,30,30,30,0.55764,0.01151,0.55334,0.56194
1.5,vel_track_err,30,30,30,0.94236,0.01151,0.93806,0.94666
1.5,lateral_drift,30,30,30,0.34741,0.01801,0.34068,0.35413
1.5,height_std,30,30,30,0.0062,0.0,0.0062,0.0062
