gait,metric,n,mean,sd,ci95_lo,ci95_hi
trot,mean_vx,30,0.22682,0.00531,0.22484,0.2288
trot,vel_track_err,30,0.27318,0.00531,0.2712,0.27516
trot,lateral_drift,30,0.16277,0.00689,0.1602,0.16534
trot,height_std,30,0.006,0.0,0.006,0.006
pace,mean_vx,30,0.32433,0.00509,0.32242,0.32623
pace,vel_track_err,30,0.17567,0.00509,0.17377,0.17758
pace,lateral_drift,30,0.09371,0.01584,0.0878,0.09963
pace,height_std,30,0.0109,0.0,0.0109,0.0109
bound,mean_vx,30,0.16795,0.00592,0.16574,0.17016
bound,vel_track_err,30,0.33205,0.00592,0.32984,0.33426
bound,lateral_drift,30,0.20241,0.00241,0.20151,0.20331
bound,height_std,30,0.00211,3e-05,0.0021,0.00213
