cmd_vx,friction_mu,metric,n,n_total,n_survived,survival_rate,mean,sd,ci95_lo,ci95_hi
0.5,0.3,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,0.3,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,0.3,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,0.3,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,0.5,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,0.5,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,0.5,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,0.5,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,0.8,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,0.8,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,0.8,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,0.8,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,1.0,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,1.0,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,1.0,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,1.0,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,1.5,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,1.5,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,1.5,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,1.5,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,2.0,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,2.0,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,2.0,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,2.0,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,3.0,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,3.0,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,3.0,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,3.0,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
1.0,0.3,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,0.3,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,0.3,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,0.3,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,0.5,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,0.5,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,0.5,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,0.5,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,0.8,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,0.8,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,0.8,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,0.8,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,1.0,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,1.0,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,1.0,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,1.0,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,1.5,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,1.5,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,1.5,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,1.5,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,2.0,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,2.0,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,2.0,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
