solref_tconst,metric,n,n_total,n_survived,survival_rate,mean,sd,ci95_lo,ci95_hi
0.005,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
0.005,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
0.005,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
0.005,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
0.01,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
0.01,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
0.01,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
0.01,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
0.02,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
0.02,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
0.02,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
0.02,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
0.04,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
0.04,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
0.04,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
0.04,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
