cmd_vx,foot_friction_mu,metric,n,n_total,n_survived,survival_rate,mean,sd,ci95_lo,ci95_hi
0.5,0.2,mean_vx,15,15,15,1.0,0.34892,0.000795,0.34848,0.34936
0.5,0.2,vel_track_err,15,15,15,1.0,0.15108,0.000795,0.15064,0.15152
0.5,0.2,lateral_drift,15,15,15,1.0,0.057907,0.002562,0.056488,0.059325
0.5,0.2,height_std,15,15,15,1.0,0.0064,0.0,0.0064,0.0064
0.5,0.4,mean_vx,15,15,15,1.0,0.2976,0.00323,0.295811,0.299389
0.5,0.4,vel_track_err,15,15,15,1.0,0.2024,0.00323,0.200611,0.204189
0.5,0.4,lateral_drift,15,15,15,1.0,0.106393,0.007606,0.102181,0.110606
0.5,0.4,height_std,15,15,15,1.0,0.0056,0.0,0.0056,0.0056
0.5,0.6,mean_vx,15,15,15,1.0,0.254493,0.004474,0.252016,0.256971
0.5,0.6,vel_track_err,15,15,15,1.0,0.245507,0.004474,0.243029,0.247984
0.5,0.6,lateral_drift,15,15,15,1.0,0.147827,0.007049,0.143923,0.15173
0.5,0.6,height_std,15,15,15,1.0,0.0058,0.0,0.0058,0.0058
0.5,0.8,mean_vx,15,15,15,1.0,0.226887,0.005194,0.224011,0.229763
0.5,0.8,vel_track_err,15,15,15,1.0,0.273113,0.005194,0.270237,0.275989
0.5,0.8,lateral_drift,15,15,15,1.0,0.16268,0.006731,0.158953,0.166407
0.5,0.8,height_std,15,15,15,1.0,0.006,0.0,0.006,0.006
0.5,1.0,mean_vx,15,15,15,1.0,0.20256,0.005602,0.199458,0.205662
0.5,1.0,vel_track_err,15,15,15,1.0,0.29744,0.005602,0.294338,0.300542
0.5,1.0,lateral_drift,15,15,15,1.0,0.172713,0.006178,0.169292,0.176134
0.5,1.0,height_std,15,15,15,1.0,0.0061,0.0,0.0061,0.0061
0.5,1.5,mean_vx,15,15,15,1.0,0.180907,0.005546,0.177836,0.183978
0.5,1.5,vel_track_err,15,15,15,1.0,0.319093,0.005546,0.316022,0.322164
0.5,1.5,lateral_drift,15,15,15,1.0,0.17248,0.005445,0.169465,0.175495
0.5,1.5,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
0.5,2.0,mean_vx,15,15,15,1.0,0.19178,0.004958,0.189034,0.194526
0.5,2.0,vel_track_err,15,15,15,1.0,0.30822,0.004958,0.305474,0.310966
0.5,2.0,lateral_drift,15,15,15,1.0,0.154647,0.005596,0.151548,0.157745
0.5,2.0,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
0.5,3.0,mean_vx,15,15,15,1.0,0.196413,0.00448,0.193932,0.198894
0.5,3.0,vel_track_err,15,15,15,1.0,0.303587,0.00448,0.301106,0.306068
0.5,3.0,lateral_drift,15,15,15,1.0,0.136347,0.005519,0.133291,0.139403
0.5,3.0,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,0.2,mean_vx,15,15,15,1.0,0.438,0.006298,0.434512,0.441488
1.0,0.2,vel_track_err,15,15,15,1.0,0.562,0.006298,0.558512,0.565488
1.0,0.2,lateral_drift,15,15,15,1.0,0.17586,0.01332,0.168484,0.183236
1.0,0.2,height_std,15,15,15,1.0,0.0073,0.0,0.0073,0.0073
1.0,0.4,mean_vx,15,15,15,1.0,0.40552,0.008532,0.400795,0.410245
1.0,0.4,vel_track_err,15,15,15,1.0,0.59448,0.008532,0.589755,0.599205
1.0,0.4,lateral_drift,15,15,15,1.0,0.274027,0.012839,0.266917,0.281136
1.0,0.4,height_std,15,15,15,1.0,0.0062,0.0,0.0062,0.0062
1.0,0.6,mean_vx,15,15,15,1.0,0.497833,0.003121,0.496105,0.499562
1.0,0.6,vel_track_err,15,15,15,1.0,0.502167,0.003121,0.500438,0.503895
1.0,0.6,lateral_drift,15,15,15,1.0,0.111033,0.013303,0.103666,0.118401
1.0,0.6,height_std,15,15,15,1.0,0.0063,0.0,0.0063,0.0063
1.0,0.8,mean_vx,15,15,15,1.0,0.50434,0.000415,0.50411,0.50457
1.0,0.8,vel_track_err,15,15,15,1.0,0.49566,0.000415,0.49543,0.49589
1.0,0.8,lateral_drift,15,15,15,1.0,0.017767,0.007572,0.013574,0.02196
1.0,0.8,height_std,15,15,15,1.0,0.0065,0.0,0.0065,0.0065
1.0,1.0,mean_vx,15,15,15,1.0,0.48864,0.002368,0.487329,0.489951
1.0,1.0,vel_track_err,15,15,15,1.0,0.51136,0.002368,0.510049,0.512671
1.0,1.0,lateral_drift,15,15,15,1.0,0.073533,0.014693,0.065396,0.08167
1.0,1.0,height_std,15,15,15,1.0,0.0066,0.0,0.0066,0.0066
1.0,1.5,mean_vx,15,15,15,1.0,0.453193,0.004438,0.450736,0.455651
1.0,1.5,vel_track_err,15,15,15,1.0,0.546807,0.004438,0.544349,0.549264
1.0,1.5,lateral_drift,15,15,15,1.0,0.133007,0.014556,0.124946,0.141068
1.0,1.5,height_std,15,15,15,1.0,0.0068,0.0,0.0068,0.0068
1.0,2.0,mean_vx,15,15,15,1.0,0.423453,0.005868,0.420204,0.426703
1.0,2.0,vel_track_err,15,15,15,1.0,0.576547,0.005868,0.573297,0.579796
1.0,2.0,lateral_drift,15,15,15,1.0,0.169147,0.014219,0.161273,0.177021
1.0,2.0,height_std,15,15,15,1.0,0.0069,0.0,0.0069,0.0069
1.0,3.0,mean_vx,15,15,15,1.0,0.428513,0.004921,0.425788,0.431239
1.0,3.0,vel_track_err,15,15,15,1.0,0.571487,0.004921,0.568761,0.574212
1.0,3.0,lateral_drift,15,15,15,1.0,0.13734,0.014367,0.129384,0.145296
1.0,3.0,height_std,15,15,15,1.0,0.0069,0.0,0.0069,0.0069
1.5,0.2,mean_vx,15,15,15,1.0,0.233733,0.057351,0.201973,0.265493
1.5,0.2,vel_track_err,15,15,15,1.0,1.266267,0.057351,1.234507,1.298027
