foot_friction_mu,cmd_vx,metric,n,n_total,n_survived,mean,sd,ci95_lo,ci95_hi
0.4,0.0,mean_vx,15,15,15,0.089,0.001188,0.088342,0.089658
0.4,0.0,vel_track_err,15,15,15,0.089,0.001188,0.088342,0.089658
0.4,0.0,lateral_drift,15,15,15,0.040933,0.001885,0.039889,0.041977
0.4,0.0,height_std,15,15,15,0.0065,0.0,0.0065,0.0065
0.4,0.25,mean_vx,15,15,15,0.187793,0.00271,0.186292,0.189294
0.4,0.25,vel_track_err,15,15,15,0.062207,0.00271,0.060706,0.063708
0.4,0.25,lateral_drift,15,15,15,0.087047,0.00507,0.084239,0.089854
0.4,0.25,height_std,15,15,15,0.0062,0.0,0.0062,0.0062
0.4,0.5,mean_vx,15,15,15,0.2976,0.00323,0.295811,0.299389
0.4,0.5,vel_track_err,15,15,15,0.2024,0.00323,0.200611,0.204189
0.4,0.5,lateral_drift,15,15,15,0.106393,0.007606,0.102181,0.110606
0.4,0.5,height_std,15,15,15,0.0056,0.0,0.0056,0.0056
0.4,0.75,mean_vx,15,15,15,0.41242,0.000931,0.411905,0.412935
0.4,0.75,vel_track_err,15,15,15,0.33758,0.000931,0.337065,0.338095
0.4,0.75,lateral_drift,15,15,15,0.032953,0.010924,0.026904,0.039003
0.4,0.75,height_std,15,15,15,0.0059,0.0,0.0059,0.0059
0.4,1.0,mean_vx,15,15,15,0.40552,0.008532,0.400795,0.410245
0.4,1.0,vel_track_err,15,15,15,0.59448,0.008532,0.589755,0.599205
0.4,1.0,lateral_drift,15,15,15,0.274027,0.012839,0.266917,0.281136
0.4,1.0,height_std,15,15,15,0.0062,0.0,0.0062,0.0062
0.4,1.5,mean_vx,15,15,15,0.32946,0.016532,0.320305,0.338615
0.4,1.5,vel_track_err,15,15,15,1.17054,0.016532,1.161385,1.179695
0.4,1.5,lateral_drift,15,15,15,0.496713,0.011064,0.490587,0.50284
0.4,1.5,height_std,15,15,15,0.006,0.0,0.006,0.006
0.8,0.0,mean_vx,15,15,15,0.072707,0.001305,0.071984,0.073429
0.8,0.0,vel_track_err,15,15,15,0.072707,0.001305,0.071984,0.073429
0.8,0.0,lateral_drift,15,15,15,0.043267,0.001626,0.042366,0.044167
0.8,0.0,height_std,15,15,15,0.0065,0.0,0.0065,0.0065
0.8,0.25,mean_vx,15,15,15,0.14458,0.003606,0.142583,0.146577
0.8,0.25,vel_track_err,15,15,15,0.10542,0.003606,0.103423,0.107417
0.8,0.25,lateral_drift,15,15,15,0.111233,0.004276,0.108865,0.113601
0.8,0.25,height_std,15,15,15,0.0064,0.0,0.0064,0.0064
0.8,0.5,mean_vx,15,15,15,0.226887,0.005194,0.224011,0.229763
0.8,0.5,vel_track_err,15,15,15,0.273113,0.005194,0.270237,0.275989
0.8,0.5,lateral_drift,15,15,15,0.16268,0.006731,0.158953,0.166407
0.8,0.5,height_std,15,15,15,0.006,0.0,0.006,0.006
0.8,0.75,mean_vx,15,15,15,0.367747,0.004058,0.365499,0.369994
0.8,0.75,vel_track_err,15,15,15,0.382253,0.004058,0.380006,0.384501
0.8,0.75,lateral_drift,15,15,15,0.1336,0.010617,0.127721,0.139479
0.8,0.75,height_std,15,15,15,0.0063,0.0,0.0063,0.0063
0.8,1.0,mean_vx,15,15,15,0.50434,0.000415,0.50411,0.50457
0.8,1.0,vel_track_err,15,15,15,0.49566,0.000415,0.49543,0.49589
0.8,1.0,lateral_drift,15,15,15,0.017767,0.007572,0.013574,0.02196
0.8,1.0,height_std,15,15,15,0.0065,0.0,0.0065,0.0065
0.8,1.5,mean_vx,15,15,15,0.55708,0.011305,0.55082,0.56334
0.8,1.5,vel_track_err,15,15,15,0.94292,0.011305,0.93666,0.94918
0.8,1.5,lateral_drift,15,15,15,0.3483,0.017743,0.338474,0.358126
0.8,1.5,height_std,15,15,15,0.0062,0.0,0.0062,0.0062
